what,kind,bundleId,bundleVersion,description,time
started,bundle,org.eclipse.ui.views.log,1.0.200.v20110404,"org.eclipse.ui.views.log",1394069228231
started,bundle,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"org.eclipse.ui.workbench",1394069228232
started,bundle,org.eclipse.ui.workbench.texteditor,3.7.0.v20110928-1504,"org.eclipse.ui.workbench.texteditor",1394069228233
started,bundle,org.eclipse.update.configurator,3.3.100.v20100512,"org.eclipse.update.configurator",1394069228234
started,bundle,org.eclipse.update.core,3.2.500.v20110330,"org.eclipse.update.core",1394069228235
started,bundle,org.eclipse.update.scheduler,3.2.300.v20100512,"org.eclipse.update.scheduler",1394069228235
started,bundle,org.eclipse.wst.common.project.facet.core,1.4.201.v201201101553,"org.eclipse.wst.common.project.facet.core",1394069228235
started,bundle,org.eclipse.wst.web,1.1.501.v201201190400,"org.eclipse.wst.web",1394069228236
os,sysinfo,,,"win32",1394069228238
arch,sysinfo,,,"x86",1394069228238
ws,sysinfo,,,"win32",1394069228238
locale,sysinfo,,,"en_US",1394069228238
processors,sysinfo,,,"4",1394069228238
java.runtime.name,sysinfo,,,"Java(TM) SE Runtime Environment",1394069228238
java.runtime.version,sysinfo,,,"1.7.0_17-b02",1394069228238
java.specification.name,sysinfo,,,"Java Platform API Specification",1394069228238
java.specification.vendor,sysinfo,,,"Oracle Corporation",1394069228238
java.specification.version,sysinfo,,,"1.7",1394069228238
java.vendor,sysinfo,,,"Oracle Corporation",1394069228238
java.version,sysinfo,,,"1.7.0_17",1394069228238
java.vm.info,sysinfo,,,"mixed mode, sharing",1394069228238
java.vm.name,sysinfo,,,"Java HotSpot(TM) Client VM",1394069228238
java.vm.specification.name,sysinfo,,,"Java Virtual Machine Specification",1394069228238
java.vm.specification.vendor,sysinfo,,,"Oracle Corporation",1394069228238
java.vm.specification.version,sysinfo,,,"1.7",1394069228238
java.vm.vendor,sysinfo,,,"Oracle Corporation",1394069228238
java.vm.version,sysinfo,,,"23.7-b01",1394069228238
activated,view,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.PackageExplorer",1394069236511
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1394069241141
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1394069281327
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1394069290989
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1394069321564
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.import",1394069321582
started,bundle,org.eclipse.pde.core,3.7.1.v20120103_r372,"org.eclipse.pde.core",1394069321861
started,bundle,org.eclipse.wst.jsdt.core,1.1.102.v201111090634,"org.eclipse.wst.jsdt.core",1394069321955
started,bundle,org.eclipse.wst.server.core,1.1.304.v20120208_1420,"org.eclipse.wst.server.core",1394069321963
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1394069326797
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1394069403938
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1394069412664
started,bundle,org.eclipse.equinox.p2.garbagecollector,1.0.200.v20110815-1419,"org.eclipse.equinox.p2.garbagecollector",1394069439716
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1394069439729
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.import",1394069439740
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1394069450570
opened,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1394069450647
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1394069450748
closed,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1394069450749
opened,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1394069452002
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1394069452083
closed,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1394069452083
started,bundle,org.eclipse.jdt.junit,3.7.0.v20110928-1453,"org.eclipse.jdt.junit",1394069452146
opened,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1394069452868
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1394069452956
closed,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1394069452956
activated,view,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.PackageExplorer",1394069453865
closed,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1394069453865
opened,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1394069457585
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1394069457654
activated,view,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.PackageExplorer",1394069458352
